Zip Code;Densidad poblacional
90001;58245
90002;54384
90003;75190
90004;59621
90005;36910
90006;57136
90007;41270
90008;31046
90010;4313
90011;109511
90012;39709
90013;13413
90014;8547
90015;24228
90016;45884
90017;28433
90018;51388
90019;61061
90020;38124
90021;2724
90023;45732
90024;50611
90025;44608
90026;65921
90027;44678
90028;29887
90029;35037
90031;38533
90032;45298
90033;47495
90034;53321
90035;26411
90036;37596
90037;68885
90038;27995
90039;28839
90041;28956
90042;59658
90043;44272
90044;100225
90045;41411
90046;48749
90047;51494
90048;20504
90049;35853
90056;7956
90057;47604
90058;3659
90059;41315
90061;29992
90062;34277
90063;52954
90064;25161
90065;46432
90066;54913
90067;2483
90068;21127
90069;20185
90071;28
90073;881
90077;7729
90079;0
90089;3498
90094;11426
90095;0
90210;19627
90211;9202
90212;10999
90230;33620
90232;15342
90245;17243
90247;48646
90248;11472
90250;96730
90265;16868
90266;35585
90272;21282
90275;42417
90280;93207
90290;5114
90291;25685
90292;23951
90293;12812
90301;38500
90302;29278
90303;23415
90304;26103
90305;15254
90402;12046
90403;24525
90404;23460
90405;27367
90501;43450
90502;18110
90504;33022
90710;27998
90717;21727
